,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Julian Union Elementary,-1.82%,2.17%,0.35%
Asian,2019,Julian Union Elementary,0.73%,2.39%,3.12%
Black or African American,2019,Julian Union Elementary,-1.08%,2.98%,1.91%
Caucasian,2019,Julian Union Elementary,34.46%,51.68%,86.14%
Filipino,2019,Julian Union Elementary,-0.54%,0.54%,0.00%
Hispanic,2019,Julian Union Elementary,-24.67%,30.91%,6.24%
Multiracial,2019,Julian Union Elementary,-7.54%,8.41%,0.87%
Native Hawaiian/Pacific Islander,2019,Julian Union Elementary,1.01%,0.38%,1.39%
Unknown,2019,Julian Union Elementary,-0.54%,0.54%,0.00%
